Time,X Position,Y Position,Error,Linear Velocity,Angular Velocity
0.07015657424926758,-0.007907623744207525,-5.0011110873840625,2.2294966797059264,1.116312478346446,6.054277688291522
0.11489439010620117,-0.007913412507115632,-5.001112127480179,2.2294919743872,1.1188716868935218,2.500095764351228
0.1576368808746338,-0.007919200968448194,-5.001113167585034,2.229487269347445,1.1223838285645407,2.504023348679521
0.20570898056030273,-0.007925164522426177,-5.001114239216958,2.2294824220221945,1.1269676504640282,2.509149472277866
0.2645151615142822,-0.007930952371840595,-5.001115279338479,2.229477717548019,1.1328626048124377,2.5157432335952112
0.3287813663482666,-0.007936739919944018,-5.001116319467828,2.229473013352167,1.1401903445501769,2.523940319976032
0.3841090202331543,-0.007926772541000097,-5.001114774962494,2.2294812258027923,1.1487580892682026,2.5328136606079688
0.4409184455871582,-0.007876532266886827,-5.001104970831879,2.2295217140268675,1.1586087058657557,2.5419619484065388
0.4937255382537842,-0.0077687292604398835,-5.001084450972731,2.2296088253529893,1.1696604097027445,2.5514255083193995
0.5503859519958496,-0.007577525435926806,-5.001047043803933,2.2297628800068896,1.1820097386840707,2.5612103856146122
0.6115708351135254,-0.0073027128851778905,-5.000985639332867,2.2299808806860653,1.1957566517185423,2.5718426570688666
0.6821949481964111,-0.006946239967147615,-5.0008961141805,2.2302592498995972,1.2111105522598065,2.583367487821086
0.7392802238464355,-0.006536113456693004,-5.000777218747309,2.2305724172319414,1.2277573166851476,2.595040788333148
0.8055498600006104,-0.006193716055884931,-5.000643845516775,2.230818594925558,1.2458507616002463,2.607275367702936
0.8724167346954346,-0.006077442695043779,-5.0004950415248794,2.230855775850471,1.2653317111781421,2.6193494650808793
0.9380204677581787,-0.006448746618001439,-5.000241567582356,2.230410229841261,1.2860306426444204,2.6299371312287563
1.0175681114196777,-0.007401277249398427,-4.999921013221504,2.2294151032477663,1.3082188965094963,2.639615490500317
1.1008281707763672,-0.00865210004864123,-4.999742745978792,2.2282172283639454,1.3321488020235086,2.648875061815645
1.1774532794952393,-0.00986323119821438,-4.999896809958682,2.2272040744176005,1.3578665124656177,2.657529952560976
1.2414302825927734,-0.010772322055581629,-5.000155993850695,2.2265082004644885,1.3851591225340394,2.666571145248961
1.2973856925964355,-0.011433769942892776,-5.00027582952069,2.225971110874272,1.4137700084527438,2.6751228315352242
1.350118637084961,-0.012152081230054117,-5.000233224775003,2.22531028220826,1.4434839229727996,2.6826059526743284
1.4065203666687012,-0.013207206509142365,-4.999980163054913,2.2242540166920093,1.474240375965894,2.6888754901036487
1.479017734527588,-0.014688628273200057,-4.999717036807889,2.222812496903797,1.5063954071062904,2.6936760992310713
1.540984869003296,-0.016074253548703066,-4.999676053840391,2.2215565669264943,1.5400012926703255,2.6967966683976736
1.6054754257202148,-0.01705893744098702,-4.999914200443423,2.2207844708190567,1.5752693935538173,2.7018001924026565
1.665989637374878,-0.018093412677346942,-4.9999272992038595,2.2198667357672734,1.6117932758093405,2.706990548303175
1.7286615371704102,-0.019654803950061334,-4.999688592392489,2.2183652488437846,1.6493905591583133,2.7094457956551055
1.7915239334106445,-0.021348165147673417,-4.999477360254057,2.216758461633765,1.6883009239393778,2.71149868432069
1.847689151763916,-0.022721418056952727,-4.999411816747502,2.2155032317884915,1.728608921887476,2.7141121888864888
1.913945198059082,-0.023947594219808067,-4.999377297014701,2.214393391468213,1.7704362777094802,2.7168154828669233
1.9767305850982666,-0.025635627352001013,-4.999129905373355,2.2127754616754713,1.8133679221435979,2.7195157999754063
2.03716778755188,-0.027398829984490454,-4.998853982882581,2.2110777134842983,1.857562410984852,2.7217045593623372
2.1109650135040283,-0.02886689526658686,-4.99855862821831,2.2096345966166484,1.9034854658118854,2.7247317355142058
2.1825106143951416,-0.030470526065620968,-4.998102306808369,2.2079978631222494,1.950856886792947,2.7292963270443926
2.24666428565979,-0.0324268031714621,-4.9975130881417,2.205986547078668,1.9994123406708322,2.7335223126394252
2.3144164085388184,-0.03413821790750757,-4.996749000344884,2.2041145877608983,2.049488750694083,2.7384297006616922
2.345378875732422,-0.03588720340209961,-4.995797353910962,2.2021243034433136,2.10014176676562,2.74461389155693
2.3887529373168945,-0.03793835008853579,-4.994665844092744,2.1997831846475298,2.1515185928055995,2.7499898201696054
2.4315218925476074,-0.03974027134120291,-4.9933856483989505,2.197597153767374,2.203860633269378,2.7545670108888984
2.480950117111206,-0.04173361923455931,-4.992038571476303,2.195210182495727,2.2571292172270194,2.7593657547394086
2.527038097381592,-0.043855401312112775,-4.990596394976481,2.1926657083824237,2.3112664779694136,2.763691721601831
2.5861082077026367,-0.04586485776914978,-4.988908048115578,2.190110335514936,2.366627414680165,2.767598460414302
2.649555206298828,-0.04816437346718168,-4.987131809389453,2.1872566200862793,2.4231531286184484,2.771861916476217
2.7144038677215576,-0.05022572066871636,-4.985239239030427,2.1845631367545963,2.4811042532294936,2.7796656639299595
2.7700538635253906,-0.05262518024041524,-4.983251023687731,2.181524985925361,2.5400145949712734,2.788674333944777
2.8210318088531494,-0.05489552666758182,-4.981280966206413,2.1786105082865945,2.6000166515816723,2.7999539666797086
2.870443820953369,-0.057254507900184985,-4.979115503227794,2.175529180621388,2.660923330687253,2.8115013615751314
2.9296889305114746,-0.05993316146536204,-4.9766838862703,2.1720429902932037,2.722814338575731,2.82206200930147
2.9961884021759033,-0.06250282597978485,-4.973979133721026,2.168531911745889,2.7860321009392877,2.8342533700146144
3.0538060665130615,-0.06540928162020843,-4.9710490920623736,2.164619501629882,2.8501791775389824,2.846200556181007
